Station,Date,Available_bikes
55,02/01/2021 17:41,0
195,02/01/2021 17:38,4
29,02/01/2021 17:45,2
280,02/01/2021 17:44,8
156,02/01/2021 17:38,12
242,02/01/2021 17:42,0
224,02/01/2021 17:43,1
229,02/01/2021 17:38,3
154,02/01/2021 17:45,13
96,02/01/2021 17:44,10
65,02/01/2021 17:38,8
22,02/01/2021 17:37,7
236,02/01/2021 17:42,8
111,02/01/2021 17:39,6
152,02/01/2021 17:44,9
243,02/01/2021 17:41,12
174,02/01/2021 17:37,10
276,02/01/2021 17:45,2
77,02/01/2021 17:45,7
137,02/01/2021 17:44,12
144,02/01/2021 17:45,9
40,02/01/2021 17:44,4
25,02/01/2021 17:43,17
74,02/01/2021 17:36,8
71,02/01/2021 17:38,1
105,02/01/2021 17:37,10
64,02/01/2021 17:42,7
3,02/01/2021 17:45,0
93,02/01/2021 17:42,10
139,02/01/2021 17:44,16
81,02/01/2021 17:45,25
60,02/01/2021 17:45,13
36,02/01/2021 17:45,9
227,02/01/2021 17:45,2
248,02/01/2021 17:35,13
53,02/01/2021 17:38,2
187,02/01/2021 17:42,7
87,02/01/2021 17:39,8
225,02/01/2021 17:45,8
121,02/01/2021 17:44,2
84,02/01/2021 17:45,5
208,02/01/2021 17:37,3
131,02/01/2021 17:43,15
239,02/01/2021 17:45,17
1,02/01/2021 17:41,2
37,02/01/2021 17:41,10
7,02/01/2021 17:40,22
259,02/01/2021 17:44,10
234,02/01/2021 17:42,11
192,02/01/2021 17:44,2
48,02/01/2021 17:42,0
175,02/01/2021 17:40,18
266,02/01/2021 17:37,11
166,02/01/2021 17:45,4
135,02/01/2021 17:36,8
79,02/01/2021 17:44,6
210,02/01/2021 17:44,11
75,02/01/2021 17:42,11
115,02/01/2021 17:45,4
221,02/01/2021 17:45,10
128,02/01/2021 17:44,22
67,02/01/2021 17:43,15
188,02/01/2021 17:39,1
118,02/01/2021 17:43,7
178,02/01/2021 17:45,13
41,02/01/2021 17:45,12
90,02/01/2021 17:43,0
68,02/01/2021 17:43,1
147,02/01/2021 17:45,8
109,02/01/2021 17:44,7
153,02/01/2021 17:36,16
262,02/01/2021 17:43,8
197,02/01/2021 17:43,3
23,02/01/2021 17:45,13
273,02/01/2021 17:40,2
183,02/01/2021 17:40,17
126,02/01/2021 17:44,19
255,02/01/2021 17:40,15
233,02/01/2021 17:38,10
254,02/01/2021 17:41,10
21,02/01/2021 17:40,13
62,02/01/2021 17:41,4
244,02/01/2021 17:39,16
24,02/01/2021 17:44,7
245,02/01/2021 17:38,9
196,02/01/2021 17:45,4
281,02/01/2021 17:40,10
260,02/01/2021 17:37,11
228,02/01/2021 17:45,7
124,02/01/2021 17:41,9
207,02/01/2021 17:36,4
11,02/01/2021 17:45,3
186,02/01/2021 17:42,4
235,02/01/2021 17:41,14
288,02/01/2021 17:38,16
150,02/01/2021 17:42,17
252,02/01/2021 17:45,10
184,02/01/2021 17:36,6
271,02/01/2021 17:38,3
33,02/01/2021 17:44,0
161,02/01/2021 17:42,11
172,02/01/2021 17:45,10
120,02/01/2021 17:37,8
268,02/01/2021 17:42,0
217,02/01/2021 17:42,12
82,02/01/2021 17:37,10
173,02/01/2021 17:39,19
70,02/01/2021 17:44,8
141,02/01/2021 17:43,12
108,02/01/2021 17:43,7
85,02/01/2021 17:45,2
202,02/01/2021 17:38,10
102,02/01/2021 17:41,10
143,02/01/2021 17:42,14
106,02/01/2021 17:42,13
30,02/01/2021 17:45,9
170,02/01/2021 17:40,13
274,02/01/2021 17:42,8
123,02/01/2021 17:38,10
6,02/01/2021 17:37,2
213,02/01/2021 17:42,2
257,02/01/2021 17:44,4
9,02/01/2021 17:43,7
97,02/01/2021 17:43,5
49,02/01/2021 17:40,0
191,02/01/2021 17:45,11
52,02/01/2021 17:36,1
104,02/01/2021 17:37,2
19,02/01/2021 17:38,7
13,02/01/2021 17:45,1
129,02/01/2021 17:41,13
287,02/01/2021 17:36,12
212,02/01/2021 17:38,8
284,02/01/2021 17:36,7
158,02/01/2021 17:44,16
168,02/01/2021 17:37,10
179,02/01/2021 17:42,7
204,02/01/2021 17:44,14
249,02/01/2021 17:39,12
15,02/01/2021 17:45,14
247,02/01/2021 17:37,8
134,02/01/2021 17:41,6
112,02/01/2021 17:44,11
76,02/01/2021 17:36,22
193,02/01/2021 17:42,0
190,02/01/2021 17:44,10
241,02/01/2021 17:43,4
253,02/01/2021 17:41,15
89,02/01/2021 17:42,8
100,02/01/2021 17:41,10
215,02/01/2021 17:42,7
54,02/01/2021 17:43,10
8,02/01/2021 17:37,11
180,02/01/2021 17:39,17
277,02/01/2021 17:45,8
214,02/01/2021 17:43,4
114,02/01/2021 17:45,8
2,02/01/2021 17:45,3
199,02/01/2021 17:41,3
223,02/01/2021 17:39,8
164,02/01/2021 17:45,7
51,02/01/2021 17:44,14
10,02/01/2021 17:45,39
35,02/01/2021 17:40,1
250,02/01/2021 17:43,0
45,02/01/2021 17:43,19
83,02/01/2021 17:38,2
47,02/01/2021 17:37,2
231,02/01/2021 17:45,4
44,02/01/2021 17:39,10
171,02/01/2021 17:41,8
162,02/01/2021 17:44,13
31,02/01/2021 17:44,4
138,02/01/2021 17:45,10
216,02/01/2021 17:38,8
194,02/01/2021 17:45,0
98,02/01/2021 17:43,14
263,02/01/2021 17:45,8
16,02/01/2021 17:44,16
169,02/01/2021 17:43,12
39,02/01/2021 17:41,18
201,02/01/2021 17:39,0
198,02/01/2021 17:40,0
101,02/01/2021 17:44,13
258,02/01/2021 17:42,5
56,02/01/2021 17:44,0
159,02/01/2021 17:42,10
72,02/01/2021 17:39,8
146,02/01/2021 17:39,7
261,02/01/2021 17:41,6
151,02/01/2021 17:45,7
238,02/01/2021 17:42,13
80,02/01/2021 17:41,12
57,02/01/2021 17:36,9
269,02/01/2021 17:39,5
285,02/01/2021 17:40,10
58,02/01/2021 17:39,2
272,02/01/2021 17:40,8
95,02/01/2021 17:41,15
222,02/01/2021 17:42,7
92,02/01/2021 17:38,0
38,02/01/2021 17:45,26
140,02/01/2021 17:45,21
4,02/01/2021 17:45,4
136,02/01/2021 17:38,10
176,02/01/2021 17:38,12
142,02/01/2021 17:39,5
237,02/01/2021 17:36,6
28,02/01/2021 17:45,12
182,02/01/2021 17:36,7
94,02/01/2021 17:39,13
206,02/01/2021 17:44,5
127,02/01/2021 17:36,0
279,02/01/2021 17:42,8
88,02/01/2021 17:45,8
251,02/01/2021 17:45,1
226,02/01/2021 17:36,8
91,02/01/2021 17:45,10
122,02/01/2021 17:45,11
185,02/01/2021 17:41,3
27,02/01/2021 17:37,2
220,02/01/2021 17:40,4
209,02/01/2021 17:41,4
78,02/01/2021 17:41,17
26,02/01/2021 17:39,4
230,02/01/2021 17:40,10
149,02/01/2021 17:45,4
59,02/01/2021 17:42,5
42,02/01/2021 17:35,11
246,02/01/2021 17:37,7
219,02/01/2021 17:40,10
163,02/01/2021 17:44,11
99,02/01/2021 17:45,1
267,02/01/2021 17:38,9
113,02/01/2021 17:45,7
133,02/01/2021 17:35,15
148,02/01/2021 17:41,12
283,02/01/2021 17:45,11
167,02/01/2021 17:41,16
205,02/01/2021 17:42,7
265,02/01/2021 17:36,12
116,02/01/2021 17:39,4
86,02/01/2021 17:43,7
66,02/01/2021 17:45,0
34,02/01/2021 17:45,5
240,02/01/2021 17:41,6
119,02/01/2021 17:42,18
275,02/01/2021 17:40,0
18,02/01/2021 17:43,4
160,02/01/2021 17:43,14
282,02/01/2021 17:44,13
130,02/01/2021 17:45,13
12,02/01/2021 17:40,1
117,02/01/2021 17:37,8
43,02/01/2021 17:42,22
232,02/01/2021 17:43,10
61,02/01/2021 17:44,18
211,02/01/2021 17:40,4
165,02/01/2021 17:41,12
278,02/01/2021 17:35,2
270,02/01/2021 17:42,7
103,02/01/2021 17:38,12
17,02/01/2021 17:44,16
46,02/01/2021 17:45,2
218,02/01/2021 17:39,12
203,02/01/2021 17:39,15
132,02/01/2021 17:42,16
145,02/01/2021 17:43,20
32,02/01/2021 17:40,2
5,02/01/2021 17:44,15
110,02/01/2021 17:38,2
125,02/01/2021 17:44,12
63,02/01/2021 17:44,3
177,02/01/2021 17:38,7
73,02/01/2021 17:45,11
200,02/01/2021 17:42,3
14,02/01/2021 17:44,5
181,02/01/2021 17:41,13
50,02/01/2021 17:41,9
20,02/01/2021 17:40,3
155,02/01/2021 17:45,4
264,02/01/2021 17:38,5
256,02/01/2021 17:45,9
69,02/01/2021 17:36,4
157,02/01/2021 17:42,19
189,02/01/2021 17:38,9
55,02/01/2021 18:08,3
195,02/01/2021 18:09,7
29,02/01/2021 18:14,0
280,02/01/2021 18:15,9
156,02/01/2021 18:08,12
242,02/01/2021 18:08,2
224,02/01/2021 18:14,1
229,02/01/2021 18:09,3
154,02/01/2021 18:10,13
96,02/01/2021 18:15,11
65,02/01/2021 18:13,5
22,02/01/2021 18:07,7
236,02/01/2021 18:11,9
111,02/01/2021 18:07,6
152,02/01/2021 18:09,15
243,02/01/2021 18:08,14
174,02/01/2021 18:14,11
276,02/01/2021 18:06,3
77,02/01/2021 18:09,5
137,02/01/2021 18:15,10
144,02/01/2021 18:15,12
40,02/01/2021 18:14,7
25,02/01/2021 18:15,15
74,02/01/2021 18:10,7
71,02/01/2021 18:09,4
105,02/01/2021 18:11,9
64,02/01/2021 18:07,6
3,02/01/2021 18:07,1
93,02/01/2021 18:10,14
139,02/01/2021 18:13,14
81,02/01/2021 18:15,26
60,02/01/2021 18:13,18
36,02/01/2021 18:15,6
227,02/01/2021 18:06,1
248,02/01/2021 18:06,13
53,02/01/2021 18:06,3
187,02/01/2021 18:05,7
87,02/01/2021 18:09,5
225,02/01/2021 18:15,8
121,02/01/2021 18:11,4
84,02/01/2021 18:14,6
208,02/01/2021 18:07,4
131,02/01/2021 18:10,14
239,02/01/2021 18:09,16
1,02/01/2021 18:09,0
37,02/01/2021 18:15,11
7,02/01/2021 18:14,20
259,02/01/2021 18:09,11
234,02/01/2021 18:10,12
192,02/01/2021 18:14,2
48,02/01/2021 18:14,4
175,02/01/2021 18:14,20
266,02/01/2021 18:11,10
166,02/01/2021 18:14,5
135,02/01/2021 18:12,10
79,02/01/2021 18:06,6
210,02/01/2021 18:14,11
75,02/01/2021 18:06,5
115,02/01/2021 18:14,10
221,02/01/2021 18:06,9
128,02/01/2021 18:15,19
67,02/01/2021 18:06,14
188,02/01/2021 18:10,3
118,02/01/2021 18:12,9
178,02/01/2021 18:14,13
41,02/01/2021 18:12,9
90,02/01/2021 18:09,1
68,02/01/2021 18:11,0
147,02/01/2021 18:10,8
109,02/01/2021 18:15,4
153,02/01/2021 18:15,15
262,02/01/2021 18:13,8
197,02/01/2021 18:06,2
23,02/01/2021 18:10,9
273,02/01/2021 18:10,2
183,02/01/2021 18:15,12
126,02/01/2021 18:15,20
255,02/01/2021 18:12,14
233,02/01/2021 18:12,12
254,02/01/2021 18:07,11
21,02/01/2021 18:15,7
62,02/01/2021 18:07,3
244,02/01/2021 18:10,16
24,02/01/2021 18:14,9
245,02/01/2021 18:15,9
196,02/01/2021 18:12,4
281,02/01/2021 18:11,10
260,02/01/2021 18:09,10
228,02/01/2021 18:14,6
124,02/01/2021 18:11,10
207,02/01/2021 18:06,4
11,02/01/2021 18:06,2
186,02/01/2021 18:13,3
235,02/01/2021 18:06,13
288,02/01/2021 18:14,10
150,02/01/2021 18:07,18
252,02/01/2021 18:15,10
184,02/01/2021 18:11,7
271,02/01/2021 18:13,4
33,02/01/2021 18:11,1
161,02/01/2021 18:11,14
172,02/01/2021 18:15,10
120,02/01/2021 18:05,10
268,02/01/2021 18:13,0
217,02/01/2021 18:08,13
82,02/01/2021 18:09,10
173,02/01/2021 18:06,19
70,02/01/2021 18:07,8
141,02/01/2021 18:09,13
108,02/01/2021 18:10,6
85,02/01/2021 18:11,2
202,02/01/2021 18:10,11
102,02/01/2021 18:07,12
143,02/01/2021 18:13,14
106,02/01/2021 18:10,13
30,02/01/2021 18:14,2
170,02/01/2021 18:11,13
274,02/01/2021 18:13,7
123,02/01/2021 18:08,8
6,02/01/2021 18:14,0
213,02/01/2021 18:12,3
257,02/01/2021 18:09,5
9,02/01/2021 18:14,7
97,02/01/2021 18:14,4
49,02/01/2021 18:12,1
191,02/01/2021 18:09,13
52,02/01/2021 18:07,1
104,02/01/2021 18:15,3
19,02/01/2021 18:15,7
13,02/01/2021 18:14,1
129,02/01/2021 18:14,14
287,02/01/2021 18:09,11
212,02/01/2021 18:08,8
284,02/01/2021 18:15,7
158,02/01/2021 18:12,18
168,02/01/2021 18:06,12
179,02/01/2021 18:13,7
204,02/01/2021 18:15,17
249,02/01/2021 18:10,12
15,02/01/2021 18:15,13
247,02/01/2021 18:15,9
134,02/01/2021 18:13,5
112,02/01/2021 18:15,16
76,02/01/2021 18:08,21
193,02/01/2021 18:10,4
190,02/01/2021 18:08,9
241,02/01/2021 18:11,4
253,02/01/2021 18:12,15
89,02/01/2021 18:14,11
100,02/01/2021 18:08,12
215,02/01/2021 18:12,7
54,02/01/2021 18:12,10
8,02/01/2021 18:14,8
180,02/01/2021 18:09,17
277,02/01/2021 18:05,8
214,02/01/2021 18:15,3
114,02/01/2021 18:10,8
2,02/01/2021 18:14,1
199,02/01/2021 18:13,3
223,02/01/2021 18:06,7
164,02/01/2021 18:10,9
51,02/01/2021 18:14,18
